state,cases,deaths
Indiana,21,0
Indiana,10,0
Indiana,29,0
Indiana,23,0
Indiana,7,0
Indiana,12,0
Indiana,21,0
Indiana,5,0
Indiana,16,0
Indiana,34,0
Indiana,25,0
Indiana,17,0
Indiana,20,0
Indiana,8,0
Indiana,16,0
Indiana,9,1
Indiana,14,1
Indiana,30,1
Indiana,29,1
Indiana,23,1
Indiana,42,1
Indiana,44,1
Indiana,35,1
Indiana,40,1
Indiana,131,1
Indiana,27,1
Indiana,29,1
Indiana,11,1
Indiana,21,1
Indiana,13,1
Indiana,50,1
Indiana,78,2
Indiana,127,2
Indiana,26,2
Indiana,85,2
Indiana,18,2
Indiana,20,2
Indiana,323,2
Indiana,58,2
Indiana,50,2
Indiana,53,2
Indiana,94,2
Indiana,28,2
Indiana,65,2
Indiana,292,2
Indiana,203,2
Indiana,71,2
Indiana,28,2
Indiana,126,3
Indiana,48,3
Indiana,69,4
Indiana,178,4
Indiana,122,5
Indiana,167,5
Indiana,1555,6
Indiana,114,6
Indiana,107,6
Indiana,107,7
Indiana,110,8
Indiana,144,9
Indiana,72,10
Indiana,169,11
Indiana,395,11
Indiana,287,12
Indiana,355,14
Indiana,168,16
Indiana,63,17
Indiana,157,18
Indiana,248,19
Indiana,261,20
Indiana,192,20
Indiana,149,21
Indiana,122,21
Indiana,134,22
Indiana,641,23
Indiana,158,23
Indiana,290,24
Indiana,149,25
Indiana,386,28
Indiana,412,33
Indiana,955,33
Indiana,226,34
Indiana,274,35
Indiana,406,36
Indiana,299,39
Indiana,547,66
Indiana,992,68
Indiana,1038,73
Indiana,1012,95
Indiana,1004,99
Indiana,2840,150
Indiana,8240,509
Indiana,21,0
Indiana,10,0
Indiana,30,0
Indiana,23,0
Indiana,7,0
Indiana,12,0
Indiana,21,0
Indiana,5,0
Indiana,16,0
Indiana,34,0
Indiana,29,0
Indiana,17,0
Indiana,20,0
Indiana,8,0
Indiana,16,0
Indiana,9,1
Indiana,14,1
Indiana,31,1
Indiana,30,1
Indiana,23,1
Indiana,43,1
Indiana,44,1
Indiana,36,1
Indiana,43,1
Indiana,131,1
Indiana,27,1
Indiana,29,1
Indiana,14,1
Indiana,21,1
Indiana,13,1
Indiana,50,1
Indiana,79,2
Indiana,135,2
Indiana,27,2
Indiana,115,2
Indiana,18,2
Indiana,21,2
Indiana,330,2
Indiana,57,2
Indiana,50,2
Indiana,54,2
Indiana,97,2
Indiana,29,2
Indiana,65,2
Indiana,304,2
Indiana,209,2
Indiana,71,2
Indiana,28,2
Indiana,128,3
Indiana,50,3
Indiana,71,4
Indiana,179,4
Indiana,125,5
Indiana,170,5
Indiana,1555,6
Indiana,118,6
Indiana,107,6
Indiana,114,7
Indiana,110,8
Indiana,150,9
Indiana,72,10
Indiana,174,11
Indiana,401,11
Indiana,287,12
Indiana,358,14
Indiana,171,16
Indiana,66,17
Indiana,158,19
Indiana,194,20
Indiana,251,21
Indiana,153,21
Indiana,124,21
Indiana,277,22
Indiana,134,22
Indiana,671,23
Indiana,162,24
Indiana,294,24
Indiana,151,25
Indiana,393,28
Indiana,424,33
Indiana,979,33
Indiana,229,34
Indiana,276,35
Indiana,412,36
Indiana,299,39
Indiana,552,66
Indiana,1003,68
Indiana,1050,74
Indiana,1032,95
Indiana,1016,99
Indiana,2871,150
Indiana,8392,512
Indiana,23,0
Indiana,10,0
Indiana,33,0
Indiana,23,0
Indiana,8,0
Indiana,13,0
Indiana,21,0
Indiana,5,0
Indiana,16,0
Indiana,35,0
Indiana,28,0
Indiana,18,0
Indiana,20,0
Indiana,8,0
Indiana,16,0
Indiana,10,1
Indiana,15,1
Indiana,32,1
Indiana,31,1
Indiana,23,1
Indiana,44,1
Indiana,44,1
Indiana,40,1
Indiana,42,1
Indiana,131,1
Indiana,27,1
Indiana,29,1
Indiana,15,1
Indiana,21,1
Indiana,13,1
Indiana,50,1
Indiana,79,2
Indiana,143,2
Indiana,26,2
Indiana,161,2
Indiana,18,2
Indiana,21,2
Indiana,335,2
Indiana,59,2
Indiana,51,2
Indiana,55,2
Indiana,98,2
Indiana,29,2
Indiana,67,2
Indiana,308,2
Indiana,222,2
Indiana,71,2
Indiana,28,2
Indiana,131,3
Indiana,50,3
Indiana,71,4
Indiana,125,5
Indiana,170,5
Indiana,183,5
Indiana,1554,6
Indiana,118,6
Indiana,108,6
Indiana,119,7
Indiana,110,8
Indiana,149,9
Indiana,72,10
Indiana,299,13
Indiana,174,13
Indiana,412,13
Indiana,360,16
Indiana,73,17
Indiana,174,17
Indiana,158,19
Indiana,197,20
Indiana,254,21
Indiana,153,21
Indiana,124,21
Indiana,140,22
Indiana,296,23
Indiana,690,23
Indiana,164,24
Indiana,295,24
Indiana,152,25
Indiana,403,28
Indiana,436,33
Indiana,992,33
Indiana,229,34
Indiana,278,36
Indiana,430,36
Indiana,303,39
Indiana,560,66
Indiana,1040,68
Indiana,1057,74
Indiana,1044,95
Indiana,1026,99
Indiana,2914,150
Indiana,8495,515
Indiana,23,0
Indiana,10,0
Indiana,33,0
Indiana,23,0
Indiana,8,0
Indiana,13,0
Indiana,20,0
Indiana,5,0
Indiana,16,0
Indiana,35,0
Indiana,28,0
Indiana,19,0
Indiana,21,0
Indiana,8,0
Indiana,18,0
Indiana,10,1
Indiana,17,1
Indiana,31,1
Indiana,32,1
Indiana,23,1
Indiana,45,1
Indiana,43,1
Indiana,41,1
Indiana,44,1
Indiana,132,1
Indiana,27,1
Indiana,30,1
Indiana,15,1
Indiana,21,1
Indiana,13,1
Indiana,50,1
Indiana,79,2
Indiana,150,2
Indiana,27,2
Indiana,162,2
Indiana,18,2
Indiana,20,2
Indiana,340,2
Indiana,62,2
Indiana,53,2
Indiana,55,2
Indiana,99,2
Indiana,28,2
Indiana,69,2
Indiana,315,2
Indiana,71,2
Indiana,27,2
Indiana,49,3
Indiana,226,3
Indiana,74,4
Indiana,140,4
Indiana,188,5
Indiana,186,5
Indiana,119,6
Indiana,128,6
Indiana,107,6
Indiana,1562,7
Indiana,120,7
Indiana,111,8
Indiana,152,9
Indiana,72,10
Indiana,188,13
Indiana,420,14
Indiana,306,15
Indiana,360,16
Indiana,73,17
Indiana,158,19
Indiana,175,19
Indiana,201,21
Indiana,153,21
Indiana,124,21
Indiana,297,23
Indiana,142,23
Indiana,257,23
Indiana,165,24
Indiana,738,25
Indiana,304,25
Indiana,152,26
Indiana,417,28
Indiana,442,34
Indiana,230,34
Indiana,1022,35
Indiana,280,37
Indiana,306,40
Indiana,437,43
Indiana,562,66
Indiana,1060,72
Indiana,1068,74
Indiana,1055,97
Indiana,1041,102
Indiana,2974,154
Indiana,8632,532
Indiana,25,0
Indiana,46,0
Indiana,26,0
Indiana,9,0
Indiana,13,0
Indiana,21,0
Indiana,6,0
Indiana,17,0
Indiana,39,0
Indiana,20,0
Indiana,21,0
Indiana,10,0
Indiana,24,0
Indiana,12,1
Indiana,22,1
Indiana,33,1
Indiana,39,1
Indiana,24,1
Indiana,47,1
Indiana,59,1
Indiana,42,1
Indiana,76,1
Indiana,141,1
Indiana,34,1
Indiana,37,1
Indiana,20,1
Indiana,32,1
Indiana,25,1
Indiana,13,1
Indiana,52,1
Indiana,92,2
Indiana,223,2
Indiana,32,2
Indiana,185,2
Indiana,18,2
Indiana,14,2
Indiana,26,2
Indiana,371,2
Indiana,96,2
Indiana,61,2
Indiana,59,2
Indiana,80,2
Indiana,251,2
Indiana,72,2
Indiana,40,2
Indiana,64,3
Indiana,119,3
Indiana,32,3
Indiana,377,3
Indiana,102,4
Indiana,211,5
Indiana,129,6
Indiana,112,6
Indiana,1584,7
Indiana,138,7
Indiana,148,8
Indiana,226,8
Indiana,112,9
Indiana,164,9
Indiana,160,11
Indiana,75,11
Indiana,232,17
Indiana,84,18
Indiana,368,20
Indiana,164,21
Indiana,416,22
Indiana,191,22
Indiana,497,22
Indiana,237,23
Indiana,189,23
Indiana,145,24
Indiana,126,24
Indiana,270,26
Indiana,171,27
Indiana,165,27
Indiana,325,28
Indiana,461,29
Indiana,1063,30
Indiana,234,34
Indiana,357,35
Indiana,485,36
Indiana,307,38
Indiana,1214,39
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,2,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,2,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,2,0
Indiana,1,0
Indiana,3,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,2,0
Indiana,1,0
Indiana,3,0
Indiana,2,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,2,0
Indiana,1,0
Indiana,3,0
Indiana,2,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,2,0
Indiana,1,0
Indiana,3,0
Indiana,1,0
Indiana,3,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,2,0
Indiana,1,0
Indiana,3,0
Indiana,1,0
Indiana,6,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,3,0
Indiana,2,0
Indiana,3,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,7,1
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,2,0
Indiana,1,0
Indiana,3,0
Indiana,2,0
Indiana,1,0
Indiana,2,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,3,1
Indiana,9,1
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,2,0
Indiana,2,0
Indiana,4,0
Indiana,2,0
Indiana,1,0
Indiana,1,0
Indiana,3,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,3,1
Indiana,11,1
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,2,0
Indiana,2,0
Indiana,4,0
Indiana,5,0
Indiana,1,0
Indiana,1,0
Indiana,4,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,3,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,3,1
Indiana,19,1
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,2,0
Indiana,1,0
Indiana,1,0
Indiana,2,0
Indiana,2,0
Indiana,1,0
Indiana,5,0
Indiana,4,0
Indiana,5,0
Indiana,1,0
Indiana,6,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,6,0
Indiana,2,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,2,1
Indiana,4,1
Indiana,26,3
Indiana,1,0
Indiana,4,0
Indiana,2,0
Indiana,2,0
Indiana,4,0
Indiana,1,0
Indiana,1,0
Indiana,2,0
Indiana,2,0
Indiana,1,0
Indiana,10,0
Indiana,1,0
Indiana,1,0
Indiana,6,0
Indiana,5,0
Indiana,2,0
Indiana,7,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,6,0
Indiana,2,0
Indiana,1,0
Indiana,2,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,1
Indiana,2,1
Indiana,7,1
Indiana,47,3
Indiana,1,0
Indiana,4,0
Indiana,5,0
Indiana,3,0
Indiana,4,0
Indiana,1,0
Indiana,1,0
Indiana,3,0
Indiana,4,0
Indiana,2,0
Indiana,18,0
Indiana,2,0
Indiana,1,0
Indiana,8,0
Indiana,6,0
Indiana,2,0
Indiana,10,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,8,0
Indiana,2,0
Indiana,1,0
Indiana,1,0
Indiana,2,0
Indiana,2,0
Indiana,1,0
Indiana,1,0
Indiana,2,1
Indiana,2,1
Indiana,12,1
Indiana,3,1
Indiana,1,1
Indiana,83,4
Indiana,1,0
Indiana,5,0
Indiana,3,0
Indiana,5,0
Indiana,1,0
Indiana,4,0
Indiana,1,0
Indiana,4,0
Indiana,4,0
Indiana,3,0
Indiana,21,0
Indiana,3,0
Indiana,1,0
Indiana,12,0
Indiana,6,0
Indiana,2,0
Indiana,11,0
Indiana,1,0
Indiana,3,0
Indiana,3,0
Indiana,1,0
Indiana,2,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,2,0
Indiana,2,0
Indiana,1,0
Indiana,2,0
Indiana,2,0
Indiana,1,0
Indiana,1,0
Indiana,3,1
Indiana,3,1
Indiana,14,1
Indiana,4,1
Indiana,1,1
Indiana,10,1
Indiana,7,2
Indiana,111,4
Indiana,1,0
Indiana,5,0
Indiana,3,0
Indiana,1,0
Indiana,5,0
Indiana,2,0
Indiana,6,0
Indiana,1,0
Indiana,4,0
Indiana,2,0
Indiana,6,0
Indiana,7,0
Indiana,2,0
Indiana,3,0
Indiana,25,0
Indiana,4,0
Indiana,1,0
Indiana,13,0
Indiana,6,0
Indiana,1,0
Indiana,2,0
Indiana,17,0
Indiana,1,0
Indiana,1,0
Indiana,3,0
Indiana,1,0
Indiana,3,0
Indiana,1,0
Indiana,1,0
Indiana,2,0
Indiana,1,0
Indiana,1,0
Indiana,6,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,3,0
Indiana,2,0
Indiana,1,0
Indiana,3,0
Indiana,1,0
Indiana,2,0
Indiana,1,0
Indiana,1,0
Indiana,4,1
Indiana,3,1
Indiana,4,1
Indiana,1,1
Indiana,16,1
Indiana,8,2
Indiana,18,3
Indiana,162,7
Indiana,1,0
Indiana,5,0
Indiana,4,0
Indiana,1,0
Indiana,6,0
Indiana,1,0
Indiana,2,0
Indiana,7,0
Indiana,1,0
Indiana,5,0
Indiana,3,0
Indiana,6,0
Indiana,7,0
Indiana,2,0
Indiana,3,0
Indiana,30,0
Indiana,2,0
Indiana,15,0
Indiana,1,0
Indiana,1,0
Indiana,2,0
Indiana,19,0
Indiana,1,0
Indiana,1,0
Indiana,4,0
Indiana,1,0
Indiana,5,0
Indiana,1,0
Indiana,1,0
Indiana,4,0
Indiana,3,0
Indiana,2,0
Indiana,7,0
Indiana,1,0
Indiana,2,0
Indiana,1,0
Indiana,1,0
Indiana,4,0
Indiana,2,0
Indiana,1,0
Indiana,3,0
Indiana,1,0
Indiana,2,0
Indiana,1,0
Indiana,1,0
Indiana,7,1
Indiana,8,1
Indiana,6,1
Indiana,4,1
Indiana,5,1
Indiana,1,1
Indiana,20,1
Indiana,8,2
Indiana,24,3
Indiana,227,7
Indiana,1,0
Indiana,6,0
Indiana,7,0
Indiana,1,0
Indiana,10,0
Indiana,1,0
Indiana,3,0
Indiana,13,0
Indiana,1,0
Indiana,7,0
Indiana,3,0
Indiana,7,0
Indiana,1,0
Indiana,3,0
Indiana,3,0
Indiana,40,0
Indiana,2,0
Indiana,21,0
Indiana,2,0
Indiana,2,0
Indiana,31,0
Indiana,2,0
Indiana,1,0
Indiana,1,0
Indiana,6,0
Indiana,2,0
Indiana,7,0
Indiana,1,0
Indiana,1,0
Indiana,1,0
Indiana,4,0
Indiana,5,0
Indiana,1,0
Indiana,11,0
Indiana,1,0
Indiana,2,0
Indiana,1,0
Indiana,1,0
Indiana,7,0
Indiana,2,0
Indiana,4,0
Indiana,3,0
Indiana,1,0
Indiana,3,0
Indiana,3,0
Indiana,1,0
Indiana,1,0
Indiana,7,1
Indiana,13,1
Indiana,9,1
Indiana,6,1
Indiana,3,1
Indiana,5,1
Indiana,5,1
Indiana,2,1
Indiana,1,1
Indiana,20,2
Indiana,22,2
Indiana,36,3
Indiana,294,7
Indiana,1,0
Indiana,6,0
Indiana,7,0
Indiana,2,0
Indiana,1,0
Indiana,12,0
Indiana,1,0
Indiana,1,0
Indiana,26,0
Indiana,1,0
Indiana,9,0
Indiana,3,0
Indiana,11,0
Indiana,1,0
Indiana,1,0
Indiana,3,0
Indiana,5,0
Indiana,53,0
Indiana,4,0
Indiana,2,0
Indiana,5,0
Indiana,5,0
Indiana,11,0
Indiana,5,0
Indiana,13,0
Indiana,3,0
Indiana,4,0
Indiana,23,0
Indiana,70,0
Indiana,4,0
Indiana,12,0
Indiana,15,0
Indiana,19,0
Indiana,5,0
Indiana,16,0
Indiana,22,0
Indiana,1,0
Indiana,7,0
Indiana,3,0
Indiana,1,0
Indiana,5,0
Indiana,1,0
Indiana,3,0
Indiana,9,0
Indiana,6,0
Indiana,13,0
Indiana,9,0
Indiana,5,0
Indiana,3,0
Indiana,7,0
Indiana,25,0
Indiana,4,0
Indiana,3,0
Indiana,5,1
Indiana,12,1
Indiana,13,1
Indiana,10,1
Indiana,3,1
Indiana,7,1
Indiana,17,1
Indiana,18,1
Indiana,12,1
Indiana,83,1
Indiana,26,1
Indiana,14,1
Indiana,19,1
Indiana,10,1
Indiana,15,1
Indiana,12,1
Indiana,45,1
Indiana,56,1
Indiana,3,1
Indiana,17,1
Indiana,12,1
Indiana,23,2
Indiana,12,2
Indiana,66,2
Indiana,20,2
Indiana,55,2
Indiana,58,2
Indiana,17,2
Indiana,36,2
Indiana,110,3
Indiana,60,3
Indiana,83,3
Indiana,20,3
Indiana,37,3
Indiana,33,3
Indiana,17,3
Indiana,119,3
Indiana,32,3
Indiana,84,3
Indiana,43,3
Indiana,107,4
Indiana,102,4
Indiana,49,5
Indiana,112,6
Indiana,118,6
Indiana,195,6
Indiana,69,7
Indiana,69,8
Indiana,77,8
Indiana,113,9
Indiana,149,12
Indiana,129,12
Indiana,321,16
Indiana,318,21
Indiana,262,22
Indiana,479,24
Indiana,747,28
Indiana,2901,137
Indiana,2,0
Indiana,5,0
Indiana,5,0
Indiana,12,0
Indiana,6,0
Indiana,13,0
Indiana,3,0
Indiana,4,0
Indiana,23,0
Indiana,70,0
Indiana,7,0
Indiana,12,0
Indiana,15,0
Indiana,17,0
Indiana,5,0
Indiana,16,0
Indiana,22,0
Indiana,1,0
Indiana,7,0
Indiana,3,0
Indiana,1,0
Indiana,5,0
Indiana,1,0
Indiana,3,0
Indiana,6,0
Indiana,12,0
Indiana,10,0
Indiana,9,0
Indiana,3,0
Indiana,7,0
Indiana,26,0
Indiana,4,0
Indiana,4,0
Indiana,5,1
Indiana,12,1
Indiana,13,1
Indiana,10,1
Indiana,3,1
Indiana,6,1
Indiana,18,1
Indiana,18,1
Indiana,13,1
Indiana,87,1
Indiana,27,1
Indiana,15,1
Indiana,19,1
Indiana,11,1
Indiana,17,1
Indiana,9,1
Indiana,12,1
Indiana,45,1
Indiana,57,1
Indiana,3,1
Indiana,19,1
Indiana,13,1
Indiana,29,2
Indiana,12,2
Indiana,69,2
Indiana,26,2
Indiana,58,2
Indiana,58,2
Indiana,17,2
Indiana,38,2
Indiana,110,3
Indiana,60,3
Indiana,89,3
Indiana,20,3
Indiana,38,3
Indiana,34,3
Indiana,18,3
Indiana,121,3
Indiana,33,3
Indiana,86,3
Indiana,108,4
Indiana,104,4
Indiana,43,4
Indiana,51,5
Indiana,112,6
Indiana,118,6
Indiana,197,6
Indiana,69,7
Indiana,72,8
Indiana,118,9
Indiana,81,9
Indiana,131,12
Indiana,158,13
Indiana,336,16
Indiana,328,21
Indiana,269,23
Indiana,491,25
Indiana,799,29
Indiana,3028,139
Indiana,2,0
Indiana,6,0
Indiana,12,0
Indiana,6,0
Indiana,13,0
Indiana,3,0
Indiana,4,0
Indiana,22,0
Indiana,70,0
Indiana,7,0
Indiana,16,0
Indiana,15,0
Indiana,17,0
Indiana,5,0
Indiana,17,0
Indiana,23,0
Indiana,1,0
Indiana,7,0
Indiana,3,0
Indiana,2,0
Indiana,5,0
Indiana,1,0
Indiana,3,0
Indiana,6,0
Indiana,12,0
Indiana,10,0
Indiana,6,0
Indiana,3,0
Indiana,7,0
Indiana,26,0
Indiana,4,0
Indiana,5,0
Indiana,6,1
Indiana,13,1
Indiana,6,1
Indiana,13,1
Indiana,12,1
Indiana,3,1
Indiana,6,1
Indiana,18,1
Indiana,19,1
Indiana,13,1
Indiana,91,1
Indiana,17,1
Indiana,19,1
Indiana,11,1
Indiana,16,1
Indiana,10,1
Indiana,12,1
Indiana,46,1
Indiana,60,1
Indiana,3,1
Indiana,19,1
Indiana,14,1
Indiana,29,2
Indiana,13,2
Indiana,26,2
Indiana,58,2
Indiana,60,2
Indiana,30,2
Indiana,17,2
Indiana,39,2
Indiana,72,3
